name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,avg,avg_rank
alpha002,0.8392857142857143,0.45454545454545453,0.6037735849056604,0.7222222222222222,0.8947368421052632,0.5084745762711864,0.5166666666666667,0.45,0.3333333333333333,0.5333333333333333,29.523117935135925,0.5737704918032787
alpha003,0.5892857142857143,0.5454545454545454,0.49056603773584906,0.9074074074074074,0.3684210526315789,0.2542372881355932,0.5,0.5666666666666667,0.55,0.8,31.13238487333677,0.6557377049180327
alpha005,0.9642857142857143,0.8545454545454545,0.6792452830188679,0.8333333333333334,0.9824561403508771,0.9491525423728814,0.9833333333333333,0.9833333333333333,0.8833333333333333,0.43333333333333335,45.684975095091566,0.9672131147540983
alpha006,0.39285714285714285,0.2727272727272727,0.3018867924528302,0.2962962962962963,0.5964912280701754,0.4067796610169492,0.7333333333333333,0.6833333333333333,0.6833333333333333,0.9666666666666667,34.8689580239746,0.819672131147541
alpha008,0.6071428571428571,0.9454545454545454,0.4528301886792453,0.7777777777777778,0.7543859649122807,0.7288135593220338,0.43333333333333335,0.95,0.6666666666666666,0.1,32.745798139027734,0.7540983606557377
alpha009,0.05357142857142857,0.05454545454545454,0.11320754716981132,0.12962962962962962,0.08771929824561403,0.22033898305084745,0.4166666666666667,0.4166666666666667,0.8666666666666667,0.11666666666666667,17.998100553890115,0.22950819672131148
alpha010,0.08928571428571429,0.03636363636363636,0.09433962264150944,0.07407407407407407,0.07017543859649122,0.3220338983050847,0.2833333333333333,0.6666666666666666,0.65,0.06666666666666667,16.857742067380112,0.21311475409836064
alpha011,0.7678571428571429,0.9636363636363636,0.6981132075471698,0.9814814814814815,0.9649122807017544,0.864406779661017,0.8333333333333334,0.75,0.9,0.18333333333333332,40.49306416683885,0.9508196721311475
alpha012,0.25,0.14545454545454545,0.8113207547169812,0.18518518518518517,0.6491228070175439,0.6101694915254238,0.6666666666666666,0.7833333333333333,0.26666666666666666,0.3,26.95557641337437,0.4918032786885246
alpha013,0.44642857142857145,0.5636363636363636,0.41509433962264153,0.3888888888888889,0.40350877192982454,0.2711864406779661,0.6333333333333333,0.15,0.16666666666666666,0.7,22.15253571017503,0.3442622950819672
alpha014,0.5535714285714286,0.43636363636363634,0.6226415094339622,0.35185185185185186,0.8245614035087719,0.8135593220338984,0.4,0.8,0.5833333333333334,0.9833333333333333,37.98912692008858,0.8688524590163934
alpha015,0.6964285714285714,0.8181818181818182,0.8490566037735849,0.7592592592592593,0.6666666666666666,0.7457627118644068,0.65,0.6,0.43333333333333335,0.6333333333333333,35.30824199400311,0.8360655737704918
alpha016,0.48214285714285715,0.7090909090909091,0.39622641509433965,0.5185185185185185,0.19298245614035087,0.3050847457627119,0.6833333333333333,0.4666666666666667,0.38333333333333336,0.48333333333333334,24.75849874995979,0.39344262295081966
alpha017,0.5,0.38181818181818183,0.22641509433962265,0.5740740740740741,0.017543859649122806,0.4915254237288136,0.35,0.31666666666666665,0.06666666666666667,0.2,14.859383116903356,0.13114754098360656
alpha018,0.35714285714285715,0.21818181818181817,0.4716981132075472,0.7962962962962963,0.21052631578947367,0.15254237288135594,0.26666666666666666,0.2,0.75,0.7166666666666667,24.745005167883157,0.3770491803278688
alpha019,,,,,,0.5423728813559322,0.85,0.8333333333333334,0.8,0.8333333333333334,31.404237288135597,0.6721311475409836
alpha020,0.6428571428571429,0.4727272727272727,0.2641509433962264,0.5370370370370371,0.7192982456140351,0.1016949152542373,0.05,0.1,0.21666666666666667,0.3333333333333333,15.168906719577446,0.14754098360655737
alpha022,0.17857142857142858,0.16363636363636364,0.33962264150943394,0.16666666666666666,0.2807017543859649,0.7627118644067796,0.4666666666666667,0.7333333333333333,0.15,0.08333333333333333,19.487825372076294,0.2786885245901639
alpha024,1.0,0.5272727272727272,0.7547169811320755,0.48148148148148145,0.543859649122807,0.3559322033898305,0.48333333333333334,0.8166666666666667,0.6333333333333333,0.4166666666666667,30.882847123153958,0.639344262295082
alpha025,0.23214285714285715,0.32727272727272727,0.32075471698113206,0.4074074074074074,0.5614035087719298,0.6610169491525424,0.9166666666666666,0.8833333333333333,0.95,0.7666666666666667,39.95170133103624,0.9344262295081968
alpha026,0.8214285714285714,0.9090909090909091,0.9245283018867925,0.6111111111111112,0.8771929824561403,0.4406779661016949,0.5833333333333334,0.9,0.6,0.31666666666666665,34.737672448606084,0.8032786885245902
alpha028,0.8035714285714286,0.7818181818181819,0.18867924528301888,0.3333333333333333,0.6140350877192983,0.9152542372881356,0.5666666666666667,0.3,0.35,0.95,31.84494639038215,0.7049180327868853
alpha029,0.9107142857142857,0.5818181818181818,0.5094339622641509,0.9259259259259259,0.9473684210526315,0.5932203389830508,0.38333333333333336,0.7,0.016666666666666666,0.7833333333333333,31.86918704567493,0.7213114754098361
alpha030,0.42857142857142855,0.7454545454545455,0.5849056603773585,0.3148148148148148,0.14035087719298245,0.23728813559322035,0.13333333333333333,0.26666666666666666,0.5166666666666667,0.4,18.775606626062753,0.2459016393442623
alpha031,0.6785714285714286,0.7636363636363637,0.9433962264150944,0.8888888888888888,0.03508771929824561,0.3389830508474576,0.55,0.43333333333333335,0.4166666666666667,0.35,25.367591958887637,0.4262295081967213
alpha032,0.9821428571428571,0.8,0.7169811320754716,0.8148148148148148,0.24561403508771928,0.6949152542372882,0.15,0.23333333333333334,0.7833333333333333,1.0,33.356573880157526,0.7704918032786885
alpha033,0.125,0.12727272727272726,0.1509433962264151,0.05555555555555555,0.3157894736842105,0.3728813559322034,0.7666666666666667,0.5333333333333333,0.9166666666666666,0.55,28.254166702794528,0.5409836065573771
alpha034,0.9464285714285714,0.509090909090909,0.4339622641509434,0.8518518518518519,0.8421052631578947,0.1864406779661017,0.8833333333333333,0.65,0.85,0.7333333333333333,38.36974163972337,0.9016393442622951
alpha036,,,,,0.5789473684210527,0.7966101694915254,0.95,0.6333333333333333,0.4666666666666667,0.8166666666666667,31.757731192387745,0.6885245901639344
alpha037,0.19642857142857142,0.09090909090909091,0.5660377358490566,0.2037037037037037,0.10526315789473684,0.4576271186440678,0.75,0.3333333333333333,0.7666666666666667,0.8666666666666667,29.646586610280163,0.6065573770491803
alpha038,0.625,0.8363636363636363,0.8679245283018868,0.5555555555555556,0.42105263157894735,0.0847457627118644,0.3,0.38333333333333336,0.23333333333333334,0.23333333333333334,19.337460814021078,0.26229508196721313
alpha039,,,,,,0.847457627118644,0.9,0.7166666666666667,0.7333333333333333,0.36666666666666664,27.384745762711862,0.5245901639344263
alpha040,0.4642857142857143,0.6363636363636364,0.5471698113207547,0.7037037037037037,0.5263157894736842,0.711864406779661,0.36666666666666664,0.36666666666666664,0.5,0.9166666666666666,32.262769290503115,0.7377049180327869
alpha041,0.03571428571428571,0.01818181818181818,0.03773584905660377,0.037037037037037035,0.05263157894736842,0.03389830508474576,0.03333333333333333,0.11666666666666667,0.4,0.03333333333333333,5.8999813426411984,0.03278688524590164
alpha042,0.7321428571428571,1.0,0.6415094339622641,1.0,0.8070175438596491,0.8813559322033898,0.25,0.06666666666666667,0.9333333333333333,0.9333333333333333,37.9965611382149,0.8852459016393442
alpha043,0.14285714285714285,0.2909090909090909,0.20754716981132076,0.1111111111111111,0.3333333333333333,0.11864406779661017,0.23333333333333334,0.08333333333333333,0.2,0.45,12.770292352000059,0.06557377049180328
alpha044,0.30357142857142855,0.34545454545454546,0.7924528301886793,0.6851851851851852,0.3508771929824561,0.288135593220339,0.8166666666666667,0.55,0.5333333333333333,0.25,27.01244594168828,0.5081967213114754
alpha045,0.16071428571428573,0.18181818181818182,0.7735849056603774,0.09259259259259259,0.5087719298245614,0.423728813559322,0.31666666666666665,0.48333333333333334,0.11666666666666667,0.05,15.935041600514225,0.18032786885245902
alpha047,0.26785714285714285,0.6,0.16981132075471697,0.5,0.2982456140350877,0.5254237288135594,0.7166666666666667,0.25,0.36666666666666664,0.65,25.437728214844753,0.4426229508196721
alpha049,0.10714285714285714,0.07272727272727272,,0.14814814814814814,0.45614035087719296,0.01694915254237288,0.9333333333333333,0.016666666666666666,0.45,0.016666666666666666,14.11091999816353,0.08196721311475409
alpha050,0.5714285714285714,0.6545454545454545,0.9056603773584906,0.6666666666666666,0.49122807017543857,0.3898305084745763,0.18333333333333332,0.13333333333333333,0.5666666666666667,0.6166666666666667,25.675957347652936,0.45901639344262296
alpha051,0.017857142857142856,0.36363636363636365,,,0.9298245614035088,,,,,,5.3942526771474135,0.01639344262295082
alpha052,,,,,,0.6779661016949152,0.8,0.9666666666666667,0.8333333333333334,0.5666666666666667,30.567796610169488,0.6229508196721312
alpha053,0.32142857142857145,0.4909090909090909,0.05660377358490566,0.37037037037037035,0.38596491228070173,0.9322033898305084,0.8666666666666667,0.5166666666666667,0.7166666666666667,0.6833333333333333,33.960917789202846,0.7868852459016393
alpha054,0.5178571428571429,0.6727272727272727,0.1320754716981132,0.6296296296296297,0.7017543859649122,0.8983050847457628,0.7833333333333333,0.2833333333333333,0.9666666666666667,0.75,37.62665906022369,0.8524590163934426
alpha055,0.6607142857142857,0.3090909090909091,0.7358490566037735,0.6481481481481481,0.7368421052631579,0.6271186440677966,0.5333333333333333,0.21666666666666667,0.18333333333333332,0.4666666666666667,25.30929159035592,0.4098360655737705
alpha057,0.5357142857142857,0.2545454545454545,0.660377358490566,0.46296296296296297,0.9122807017543859,0.9830508474576272,0.9666666666666667,0.9333333333333333,1.0,0.85,47.07083104897977,0.9836065573770492
alpha060,0.375,0.6181818181818182,0.07547169811320754,0.25925925925925924,0.7719298245614035,0.9661016949152542,0.7,0.7666666666666667,0.8166666666666667,0.9,39.91440839337217,0.9180327868852459
alpha066,0.7857142857142857,,0.8301886792452831,0.7407407407407407,,0.2033898305084746,0.3333333333333333,0.35,0.6166666666666667,0.38333333333333336,21.976248936130613,0.32786885245901637
alpha071,,,,,0.43859649122807015,0.576271186440678,0.6,0.16666666666666666,0.3,0.13333333333333333,15.217276241451085,0.16393442622950818
alpha072,0.8928571428571429,0.4,0.8867924528301887,0.2777777777777778,0.8596491228070176,0.6440677966101694,0.6166666666666667,0.6166666666666667,0.08333333333333333,0.6,29.626998006154924,0.5901639344262295
alpha073,0.7142857142857143,0.2,,,0.7894736842105263,,0.06666666666666667,0.4,0.31666666666666665,0.26666666666666666,14.24498746867168,0.09836065573770492
alpha077,0.3392857142857143,0.23636363636363636,0.5283018867924528,0.42592592592592593,0.2631578947368421,0.13559322033898305,0.16666666666666666,0.5,0.2833333333333333,0.2833333333333333,16.779971146812155,0.19672131147540983
alpha078,0.21428571428571427,0.7272727272727273,0.37735849056603776,0.5925925925925926,0.22807017543859648,0.7796610169491526,0.21666666666666667,0.03333333333333333,0.25,0.5833333333333334,20.856260656454218,0.29508196721311475
alpha083,0.8571428571428571,0.8727272727272727,0.24528301886792453,0.9629629629629629,1.0,1.0,1.0,1.0,0.9833333333333333,0.8833333333333333,50.873631644386364,1.0
alpha084,0.07142857142857142,0.10909090909090909,0.018867924528301886,0.018518518518518517,0.15789473684210525,0.05084745762711865,0.1,0.9166666666666666,0.1,0.21666666666666667,12.61484666724261,0.04918032786885246
alpha085,0.4107142857142857,0.8909090909090909,0.3584905660377358,0.2222222222222222,0.631578947368421,0.8305084745762712,0.45,0.85,0.05,0.15,24.197838638834295,0.36065573770491804
alpha088,0.75,0.6909090909090909,0.9811320754716981,0.9444444444444444,0.12280701754385964,0.1694915254237288,0.08333333333333333,0.18333333333333332,0.48333333333333334,0.5,21.883976426272724,0.3114754098360656
alpha094,0.9285714285714286,0.9272727272727272,1.0,0.8703703703703703,0.17543859649122806,0.06779661016949153,0.11666666666666667,0.05,0.13333333333333333,0.16666666666666666,14.631904341404786,0.11475409836065574
alpha098,0.2857142857142857,0.41818181818181815,0.2830188679245283,0.24074074074074073,0.47368421052631576,0.4745762711864407,0.2,0.5833333333333334,0.7,0.5166666666666667,25.683309501898027,0.47540983606557374
alpha101,0.875,0.9818181818181818,0.9622641509433962,0.4444444444444444,0.6842105263157895,0.559322033898305,0.016666666666666666,0.8666666666666667,0.03333333333333333,0.6666666666666666,28.29685809587977,0.5573770491803278
